offerId;address;postalCode;route;streetNumber;locality;lng;lat;investmentClass;assetClass;priceEuros;plotAreaSqm;netIncomeYearly;federalState;dealStatus
TP1084;Lankwitzer Stra·e 8, 12107 Berlin;12107;Lankwitzer Stra·e;8;Berlin;13,37274;52,43665;core;RESIDENTIALANDCOMMERCIAL;850000;360;0;Berlin;Offer
NG2556;Worringer Stra·e 21, 40211 DÅsseldorf;40211;Worringer Stra·e;21;DÅsseldorf;6,79627;51,2283;core;DORMITORY;2400000;177;0;Nordrhein-Westfalen;Offer
HH0260;Lindenstra·e 24, 15526 Bad Saarow;15526;Lindenstra·e;24;Bad Saarow;14,04945;52,29363;opportunity;HEALTHCAREANDSOCIAL;3950000;0;0;Brandenburg;Offer
XK8355;Lengenfelder Stra·e 3, 08468 Reichenbach im Vogtland;08468;Lengenfelder Stra·e;3;Reichenbach im Vogtland;12,31097;50,61543;core;SPECIALITYMARKETCENTER;0;10038;0;Sachsen;Offer
VR6461;In der Muslen 14, 78054 Villingen-Schwenningen;78054;In der Muslen;14;Villingen-Schwenningen;8,53535;48,06299;valueadded;DEPARTMENTSTORE;10500000;2619;700000;Baden-WÅrttemberg;Offer
ON4340;WalkmÅhlstra·e 30A, 65195 Wiesbaden;65195;WalkmÅhlstra·e;30A;Wiesbaden;8,22305;50,0879;core;APPARTMENTBUILDING;2150000;650;0;Hessen;Offer
ZR3758;Sîmmeringstra·e 14, 50823 Kîln;50823;Sîmmeringstra·e;14;Kîln;6,91699;50,94893;core;RESIDENTIALANDCOMMERCIAL;880000;118;0;Nordrhein-Westfalen;Offer
JX1766;Stad 46, 37269 Eschwege;37269;Stad;46;Eschwege;10,05582;51,1888;core;SPECIALITYMARKETCENTER;19700000;0;0;Hessen;Offer
RE0494;Eichenring 1, 16341 Panketal;16341;Eichenring;1;Panketal;13,50896723;52,62250834;development;APPARTMENTBUILDING;11000000;17602;0;Brandenburg;Offer
XP2061;LippstÑdter Stra·e 16, 59602 RÅthen;59602;LippstÑdter Stra·e;16;RÅthen;8,43546;51,49544;core;RETIREMENTHOME;5801500;0;735000;Nordrhein-Westfalen;Offer
HW4609;Speditionstra·e 11, 40221 DÅsseldorf;40221;Speditionstra·e;11;DÅsseldorf;6,75045;51,21528;core;HOTEL;75000000;0;5000000;Nordrhein-Westfalen;Offer
FI0031;Rudolf-Renner-Stra·e 50, 01159 Dresden;01159;Rudolf-Renner-Stra·e;50;Dresden;13,69386;51,04374;core;RESIDENTIALANDCOMMERCIAL;1830000;660;0;Sachsen;Execution & Closing
OH0884;Wiesengrund 11, 37603 Holzminden;37603;Wiesengrund;11;Holzminden;9,51611;51,74859;core;RETIREMENTHOME;11500000;0;607500;Niedersachsen;Offer
KE8240;Werinherstra·e 111, 81541 MÅnchen;81541;Werinherstra·e;111;MÅnchen;11,6007;48,1155;notassigned;BUILDINGPLOT;0;704;0;Bayern;Offer
XD2780;Morianstra·e 5, 42103 Wuppertal;42103;Morianstra·e;5;Wuppertal;7,14857;51,25816;core;SHOPPINGCENTER;27400000;0;0;Nordrhein-Westfalen;Offer
PJ8962;Bleichstra·e 49, 65183 Wiesbaden;65183;Bleichstra·e;49;Wiesbaden;8,23015;50,0807;core;APPARTMENTBUILDING;2500000;439;0;Hessen;Offer
PF9085;Winckelmannstra·e 9, 12487 Berlin;12487;Winckelmannstra·e;9;Berlin;13,50582;52,4443;core;RESIDENTIALANDCOMMERCIAL;1200000;776;0;Berlin;Offer
XN2523;Friedrichstra·e 5, 19055 Schwerin;19055;Friedrichstra·e;5;Schwerin;11,4145;53,63038;development;HOTEL;20300000;1543;0;Mecklenburg-Vorpommern;Offer
HS5712;Konstanzer Stra·e 50, 10707 Berlin;10707;Konstanzer Stra·e;50;Berlin;13,31078;52,49454;core;APPARTMENTBUILDING;0;1021;0;Berlin;Offer
RB2537;Hofgasse 3, 68307 Mannheim;68307;Hofgasse;3;Mannheim;8,44933;49,5611;notassigned;BUILDINGPLOT;1050000;1315;0;Baden-WÅrttemberg;Offer
UF3671;Kameruner Stra·e 55, 13351 Berlin;13351;Kameruner Stra·e;55;Berlin;13,34835;52,5513;core;RESIDENTIALANDCOMMERCIAL;5250000;765;0;Berlin;Offer
DT9454;Speditionstra·e 11, 40221 DÅsseldorf;40221;Speditionstra·e;11;DÅsseldorf;6,75045;51,21528;core;HOTEL;49500000;0;2400000;Nordrhein-Westfalen;Offer
NK8733;Repsoldstra·e 27, 20097 Hamburg;20097;Repsoldstra·e;27;Hamburg;10,01221;53,55011;notassigned;BUILDINGPLOT;2000000;0;0;Hamburg;Offer
YI8726;Kempener Allee 145, 47803 Krefeld;47803;Kempener Allee;145;Krefeld;6,5295;51,34158;development;APPARTMENTBUILDING;35000000;0;0;Nordrhein-Westfalen;Offer
GK5509;SohlstÑttenstra·e 18B, 40880 Ratingen;40880;SohlstÑttenstra·e;18B;Ratingen;6,81846;51,3116;development;APPARTMENTBUILDING;12400000;5062;0;Nordrhein-Westfalen;QuickCheck
EP6786;Mittelstra·e 48, 39114 Magdeburg;39114;Mittelstra·e;48;Magdeburg;11,65164;52,13116;core;APPARTMENTBUILDING;3525000;0;0;Sachsen-Anhalt;Offer
IR3512;Meyfartstra·e 12, 99084 Erfurt;99084;Meyfartstra·e;12;Erfurt;11,0399;50,97794;core;RESIDENTIALANDCOMMERCIAL;2200000;220;0;ThÅringen;Offer
ER9825;Musenbergstra·e 25, 81929 MÅnchen;81929;Musenbergstra·e;25;MÅnchen;11,64595;48,16967;core;HOTEL;38500000;4096;0;Bayern;Offer
PL1111;Waakirchner Stra·e 24, 81379 MÅnchen;81379;Waakirchner Stra·e;24;MÅnchen;11,53622;48,1021;development;DORMITORY;12700000;710;0;Bayern;Offer
FW2360;Nîldnerstra·e 25, 10317 Berlin;10317;Nîldnerstra·e;25;Berlin;13,48169;52,50217;core;RESIDENTIALANDCOMMERCIAL;0;1210;0;Berlin;Offer
CB5719;Erich-Kîhn-Stra·e 75, 04177 Leipzig;04177;Erich-Kîhn-Stra·e;75;Leipzig;12,32598;51,33861;core;APPARTMENTBUILDING;1050000;0;0;Sachsen;LOI & Exclusivity
HI8589;TÑubchenweg 47, 04317 Leipzig;04317;TÑubchenweg;47;Leipzig;12,4004;51,33632;core;RESIDENTIALANDCOMMERCIAL;2100000;280;0;Sachsen;Offer
JK3076;Silbersteinstra·e 54, 12051 Berlin;12051;Silbersteinstra·e;54;Berlin;13,43333;52,46671;core;RESIDENTIALANDCOMMERCIAL;28500000;0;0;Berlin;Offer
DE9795;Schatzbogen 35, 81829 MÅnchen;81829;Schatzbogen;35;MÅnchen;11,66572;48,13441;core;DORMITORY;44000000;0;1759000;Bayern;Pre-Decision
TY3497;Mergenthalerallee 38, 65760 Eschborn;65760;Mergenthalerallee;38;Eschborn;8,57004;50,13522;core;OFFICEANDCOMMERCIAL;88860000;0;0;Hessen;Offer
GY1628;NÅrnberger Stra·e 116, 96050 Bamberg;96050;NÅrnberger Stra·e;116;Bamberg;10,91017;49,89072;development;DORMITORY;4000000;1737;0;Bayern;Offer
FE4744;Rennweg 1, 92249 Vilseck;92249;Rennweg;1;Vilseck;11,79116;49,60973;core;RETIREMENTHOME;72500000;0;4130525;Bayern;LOI & Exclusivity
XU2977;Worringer Platz 4, 40210 DÅsseldorf;40210;Worringer Platz;4;DÅsseldorf;6,79628;51,22408;development;DORMITORY;35000000;2537;0;Nordrhein-Westfalen;Offer
VG4510;Turmstra·e 65, 10551 Berlin;10551;Turmstra·e;65;Berlin;13,33019;52,52705;development;HOTEL;18900000;422;630000;Berlin;QuickCheck
GK1819;Birkbuschstra·e 40, 12167 Berlin;12167;Birkbuschstra·e;40;Berlin;13,33064;52,44449;notassigned;BUILDINGPLOT;20000000;14574;0;Berlin;Offer
FY1719;Berliner Stra·e 111, 40880 Ratingen;40880;Berliner Stra·e;111;Ratingen;6,81058;51,29201;core;OFFICEBUILDING;22300000;23301;0;Nordrhein-Westfalen;Offer
CM7660;Habsburgerstra·e 132, 79104 Freiburg im Breisgau;79104;Habsburgerstra·e;132;Freiburg im Breisgau;7,853;47,9991;development;DORMITORY;73000000;15200;0;Baden-WÅrttemberg;QuickCheck
YF7268;Bruchkîbeler Landstra·e 52B, 63452 Hanau;63452;Bruchkîbeler Landstra·e;52B;Hanau;8,91014;50,14449;core;RESIDENTIALANDCOMMERCIAL;2350000;903;0;Hessen;Offer
TR3043;Limbecker Stra·e 25, 45127 Essen;45127;Limbecker Stra·e;25;Essen;7,01025;51,4575;valueadded;OFFICEANDCOMMERCIAL;0;0;0;Nordrhein-Westfalen;Offer
VO5993;ThÅringer Weg 28, 06217 Merseburg;06217;ThÅringer Weg;28;Merseburg;11,99319;51,33284;valueadded;HOTEL;5500000;30000;0;Sachsen-Anhalt;Offer
RQ6975;Bahnhofstra·e 63, 51143 Kîln;51143;Bahnhofstra·e;63;Kîln;7,06298;50,88262;core;RESIDENTIALANDCOMMERCIAL;1025000;0;0;Nordrhein-Westfalen;Offer
XC4361;Karlsruher Stra·e 80, 23568 LÅbeck;23568;Karlsruher Stra·e;80;LÅbeck;10,77916;53,88663;core;RETIREMENTHOME;8500000;0;483000;Schleswig-Holstein;LOI & Exclusivity
GN5986;Fabiolastra·e 1, 58513 LÅdenscheid;58513;Fabiolastra·e;1;LÅdenscheid;7,61137;51,2472;opportunity;RESIDENTIALANDCOMMERCIAL;142241000;0;0;Nordrhein-Westfalen;Offer
OX1572;Gneisenaustra·e 48, 10961 Berlin;10961;Gneisenaustra·e;48;Berlin;13,40277;52,48957;core;APPARTMENTBUILDING;12500000;0;0;Berlin;Offer
BA6040;LÅneburger Stra·e 5, 21073 Hamburg, Deutschland;21073;LÅneburger Stra·e;5;Hamburg;9,98351098;53,45763614;core;DORMITORY;0;700;736800;Hamburg;Pre-Decision
RQ3375;Dibberns Hoff 5, 24576 Bad Bramstedt;24576;Dibberns Hoff;5;Bad Bramstedt;9,90147;53,92283;opportunity;APPARTMENTBUILDING;5800000;2605;0;Schleswig-Holstein;Offer
NS2827;Neukîllnische Allee 80, 12057 Berlin;12057;Neukîllnische Allee;80;Berlin;13,46449;52,46559;development;OTHERINDUSTRY;0;0;0;Berlin;Offer
PI0643;Hemelinger Hafendamm 18, 28309 Bremen;28309;Hemelinger Hafendamm;18;Bremen;8,88326;53,05162;valueadded;COMMERCIALBUILDING;3500000;0;0;Bremen;Offer
LG3818;Trelleborger Stra·e 1, 18546 Sassnitz;18546;Trelleborger Stra·e;1;Sassnitz;13,63618932;54,51196742;development;DORMITORY;41500000;6933;0;Mecklenburg-Vorpommern;Offer
WZ3074;Leuschnerstra·e 33A, 70176 Stuttgart;70176;Leuschnerstra·e;33A;Stuttgart;9,16589;48,77659;development;APPARTMENTBUILDING;13900000;732;0;Baden-WÅrttemberg;Execution & Closing
RA4118;Lichtenrader Damm 81-83, 12305 Berlin;12305;Lichtenrader Damm;81-83;Berlin;13,40223707;52,41326891;core;RESIDENTIALANDCOMMERCIAL;17000000;6329;0;Berlin;Offer
EG4373;Dorfaue 7, 15566 Schîneiche bei Berlin;15566;Dorfaue;7;Schîneiche bei Berlin;13,70131;52,47978;core;APPARTMENTBUILDING;13500000;6328;0;Brandenburg;Due Diligence
RN2808;Heinkstra·e 8, 04347 Leipzig;04347;Heinkstra·e;8;Leipzig;12,40834;51,35443;core;RESIDENTIALANDCOMMERCIAL;13800000;9780;0;Sachsen;Offer
BL6722;Wa·mannsdorfer Chaussee 2, 12529 Schînefeld;12529;Wa·mannsdorfer Chaussee;2;Schînefeld;13,50659;52,38791;valueadded;HOTEL;7000000;4400;0;Brandenburg;Offer
WK5836;Roedernallee 183, 13407 Berlin;13407;Roedernallee;183;Berlin;13,34683;52,57864;core;RESIDENTIALANDCOMMERCIAL;3050000;0;0;Berlin;Offer
IF0631;Linzhausenstra·e 38, 53545 Linz am Rhein;53545;Linzhausenstra·e;38;Linz am Rhein;7,27281;50,5709;development;APPARTMENTBUILDING;33100000;0;0;Rheinland-Pfalz;Offer
XQ6690;Leibnizstra·e 70B, 10625 Berlin;10625;Leibnizstra·e;70B;Berlin;13,31369;52,50658;notassigned;BUILDINGPLOT;120000000;7359;0;Berlin;Offer
GT4312;Wachsbleichstra·e 49, 01067 Dresden;01067;Wachsbleichstra·e;49;Dresden;13,7151;51,0576;core;APPARTMENTBUILDING;1450000;269;0;Sachsen;Offer
WM5374;Frankfurter Stra·e 20, 65760 Eschborn;65760;Frankfurter Stra·e;20;Eschborn;8,56771;50,13231;core;OFFICEBUILDING;31300000;0;0;Hessen;Due Diligence
AQ6739;Billwerder Neuer Deich 2, 20539 Hamburg;20539;Billwerder Neuer Deich;2;Hamburg;10,03064;53,53618;core;HOTEL;16000000;0;0;Hamburg;Offer
OA6640;Pestalozzistra·e 4, 10625 Berlin;10625;Pestalozzistra·e;4;Berlin;13,31948;52,50764;notassigned;APPARTMENTBUILDING;0;0;0;Berlin;Offer
YH0407;Martinstra·e 24, 39104 Magdeburg;39104;Martinstra·e;24;Magdeburg;11,64085;52,10474;core;APPARTMENTBUILDING;1150000;0;0;Sachsen-Anhalt;Offer
QO1408;Kirchhofstra·e 28, 12051 Berlin;12051;Kirchhofstra·e;28;Berlin;13,44021;52,47029;core;APPARTMENTBUILDING;1390000;299;0;Berlin;Offer
CT3335;Mîckernsche Stra·e 47, 04155 Leipzig;04155;Mîckernsche Stra·e;47;Leipzig;12,35502;51,36202;core;RESIDENTIALANDCOMMERCIAL;1750000;630;0;Sachsen;QuickCheck
WB6033;Kuno-Fischer-Stra·e 2, 14057 Berlin;14057;Kuno-Fischer-Stra·e;2;Berlin;13,28921;52,50617;notassigned;APPARTMENTBUILDING;0;0;0;Berlin;Offer
PK6391;Bergstra·e 29, 12169 Berlin;12169;Bergstra·e;29;Berlin;13,338;52,45845;opportunity;COMMERCIALBUILDING;2000000;0;0;Berlin;Offer
HB2915;Provinzstra·e 16, 13409 Berlin;13409;Provinzstra·e;16;Berlin;13,37818;52,56243;development;HOTEL;9500000;1000,23;475000;Berlin;Offer
UX4897;BrunsbÅtteler Damm 223, 13581 Berlin;13581;BrunsbÅtteler Damm;223;Berlin;13,16432;52,53215;core;APPARTMENTBUILDING;0;28709;0;Berlin;Offer
QA4938;Markgrafendamm 35, 10245 Berlin, Deutschland;10245;Markgrafendamm;35;Berlin;13,4648339;52,4980705;core;DORMITORY;0;712;370000;Berlin;Final Decision
IZ1395;Grunaer Stra·e 5, 01069 Dresden;01069;Grunaer Stra·e;5;Dresden;13,74648;51,04916;development;APPARTMENTBUILDING;60000000;4152;0;Sachsen;QuickCheck
NF4137;Herzog-Albrecht-Stra·e 19, 84034 Landshut;84034;Herzog-Albrecht-Stra·e;19;Landshut;12,13609;48,54447;core;CONSUMERMARKET;5500000;2016;213137,4;Bayern;Offer
GQ6454;Iranische Stra·e 6, 13347 Berlin;13347;Iranische Stra·e;6;Berlin;13,36784;52,55514;development;APPARTMENTBUILDING;71000000;15621;0;Berlin;Offer
PJ1672;Iranische Stra·e 6, 13347 Berlin;13347;Iranische Stra·e;6;Berlin;13,36784;52,55514;notassigned;BUILDINGPLOT;65000000;15621;0;Berlin;Offer
JD0012;Mansfelder Stra·e 1, 06108 Halle (Saale);06108;Mansfelder Stra·e;1;Halle (Saale);11,96408;51,48254;core;RESIDENTIALANDCOMMERCIAL;775000;300;0;Sachsen-Anhalt;Offer
CN8699;UniversitÑtsstra·e 108, 44799 Bochum;44799;UniversitÑtsstra·e;108;Bochum;7,23449;51,46111;development;DORMITORY;87000000;8225;4129560;Nordrhein-Westfalen;Offer
DR3706;LÑmmerspieler Weg 85, 63075 Offenbach am Main;63075;LÑmmerspieler Weg;85;Offenbach am Main;8,787007626;50,10223856;development;HOTEL;15600000;2798;780000;Hessen;Offer
YJ6155;Moltkestra·e 4, 25421 Pinneberg;25421;Moltkestra·e;4;Pinneberg;9,79897;53,65861;development;APPARTMENTBUILDING;9300000;1186;0;Schleswig-Holstein;Offer
AD2829;Provinzstra·e 73, 13158 Berlin;13158;Provinzstra·e;73;Berlin;13,38048;52,57433;notassigned;BUILDINGPLOT;5000000;971;0;Berlin;Offer
QA9078;Samhof 1, 85049 Ingolstadt;85049;Samhof;1;Ingolstadt;11,37879;48,76675;notassigned;BUILDINGPLOT;0;0;0;Bayern;Offer
ZT6896;HÅttenstra·e 19, 40215 DÅsseldorf;40215;HÅttenstra·e;19;DÅsseldorf;6,78328;51,21674;core;RESIDENTIALANDCOMMERCIAL;78000000;0;0;Nordrhein-Westfalen;Offer
QR5575;Goldammerstra·e 2, 12351 Berlin;12351;Goldammerstra·e;2;Berlin;13,47225;52,43174;valueadded;APPARTMENTBUILDING;6000000;4851;0;Berlin;Offer
JP3982;Am Wehrhahn 43, 40211 DÅsseldorf;40211;Am Wehrhahn;43;DÅsseldorf;6,79142;51,22823;development;RESIDENTIALANDCOMMERCIAL;29000000;1295;0;Nordrhein-Westfalen;Offer
LM8453;Steeler Stra·e 152, 45138 Essen;45138;Steeler Stra·e;152;Essen;7,02747;51,45221;development;DORMITORY;21000000;1550;1485000;Nordrhein-Westfalen;Offer
UL8217;Friedrich-Ebert-Stra·e 67, 45127 Essen;45127;Friedrich-Ebert-Stra·e;67;Essen;7,00928;51,46073;development;DORMITORY;13860000;1606;630000;Nordrhein-Westfalen;Offer
AE0258;Senator-Braun-Allee 1, 31135 Hildesheim;31135;Senator-Braun-Allee;1;Hildesheim;9,972973794;52,15379146;development;DORMITORY;6000000;2433;0;Niedersachsen;Offer
YI1436;Paul-Heyse-Stra·e 14, 04347 Leipzig;04347;Paul-Heyse-Stra·e;14;Leipzig;12,40737;51,35307;core;APPARTMENTBUILDING;2400000;0;0;Sachsen;Offer
XE0110;Erni-Singerl-Stra·e 1, 85053 Ingolstadt;85053;Erni-Singerl-Stra·e;1;Ingolstadt;11,44045;48,7589;core;HOTEL;42000000;0;1808175;Bayern;Offer
EU7782;Alfredstra·e 9, 10365 Berlin;10365;Alfredstra·e;9;Berlin;13,48978;52,51341;development;OTHERLODGING;13300000;0;0;Berlin;Pre-Decision
XZ5404;Pestalozzistra·e 3, 10625 Berlin;10625;Pestalozzistra·e;3;Berlin;13,31975;52,50762;notassigned;APPARTMENTBUILDING;0;0;0;Berlin;Offer
YY4383;Schmidtstra·e 55, 60326 Frankfurt am Main;60326;Schmidtstra·e;55;Frankfurt am Main;8,61685;50,10468;core;HOTEL;17000000;2946;850080;Hessen;Offer
EF9554;Perleberger Stra·e 10, 10559 Berlin;10559;Perleberger Stra·e;10;Berlin;13,35348;52,53414;core;RESIDENTIALANDCOMMERCIAL;2750000;725;0;Berlin;Offer
NE9318;Wiener Stra·e 14A, 10999 Berlin;10999;Wiener Stra·e;14A;Berlin;13,42901;52,49818;core;RESIDENTIALANDCOMMERCIAL;3000000;315;0;Berlin;Offer
NO3930;Mainzer Landstra·e 16, 60325 Frankfurt am Main;60325;Mainzer Landstra·e;16;Frankfurt am Main;8,66701;50,11252;core;OFFICEBUILDING;760000000;0;0;Hessen;Due Diligence
ZG8107;Peschenstra·e 3, 47259 Duisburg;47259;Peschenstra·e;3;Duisburg;6,75014;51,3712;core;APPARTMENTBUILDING;10500000;5349;0;Nordrhein-Westfalen;Offer
JT2879;Braunsdorfer Stra·e 26, 01159 Dresden;01159;Braunsdorfer Stra·e;26;Dresden;13,69231;51,04737;core;APPARTMENTBUILDING;1350000;500;0;Sachsen;Offer
UH9320;Friedrichstra·e 6, 47798 Krefeld;47798;Friedrichstra·e;6;Krefeld;6,56192;51,33335;core;RETAILSTORE;0;0;0;Nordrhein-Westfalen;Offer
PG7405;Markîbeler Stra·e 75, 63452 Hanau;63452;Markîbeler Stra·e;75;Hanau;8,91398;50,14885;core;APPARTMENTBUILDING;400000;571;0;Hessen;Offer
MK8824;Rîntgenstra·e 5, 60388 Frankfurt am Main;60388;Rîntgenstra·e;5;Frankfurt am Main;8,74698;50,14115;core;HOTEL;35000000;0;0;Hessen;Offer
FN3557;Frankfurter Stra·e 1, 65760 Eschborn;65760;Frankfurter Stra·e;1;Eschborn;8,56489;50,13259;core;OFFICEBUILDING;71500000;0;0;Hessen;Pre-Decision
UA3755;SchÅtzestra·e 1, 01662 Mei·en;01662;SchÅtzestra·e;1;Mei·en;13,45736;51,15036;core;SHOPPINGCENTER;24000000;0;0;Sachsen;Offer
YI5126;Kiekebuschstra·e 1, 12555 Berlin;12555;Kiekebuschstra·e;1;Berlin;13,58234;52,45632;core;APPARTMENTBUILDING;2760000;667;0;Berlin;Offer
YW1245;Cherrystra·e 2, 91275 Auerbach in der Oberpfalz;91275;Cherrystra·e;2;Auerbach in der Oberpfalz;11,62474;49,68393;core;PRODUCTIONHALL;14500000;0;875379;Bayern;Offer
KB0482;Fuggerstra·e 11, 33689 Bielefeld;33689;Fuggerstra·e;11;Bielefeld;8,56737;51,94199;valueadded;OFFICEBUILDING;15500000;38449;0;Nordrhein-Westfalen;Offer
NO6540;Stettiner Stra·e 6, 13357 Berlin;13357;Stettiner Stra·e;6;Berlin;13,38503;52,55221;core;APPARTMENTBUILDING;1225000;269;0;Berlin;Offer
HK8028;Schmidstra·e 6, 10179 Berlin;10179;Schmidstra·e;6;Berlin;13,41837;52,50929;development;DORMITORY;48664000;0;1737979,2;Berlin;QuickCheck
KN6963;Breite Stra·e 27, 40213 DÅsseldorf;40213;Breite Stra·e;27;DÅsseldorf;6,779356496;51,22051783;core;OFFICEANDCOMMERCIAL;0;1604;0;Nordrhein-Westfalen;Offer
SH5551;Plockstra·e 64, 40221 DÅsseldorf, Germany;40221;Plockstra·e;64;DÅsseldorf;6,7517419;51,2106443;development;OFFICEANDCOMMERCIAL;0;14970;0;Nordrhein-Westfalen;Offer
DA3519;Lange Stra·e 40, 17489 Greifswald;17489;Lange Stra·e;40;Greifswald;13,37555;54,09605;core;SHOPPINGCENTER;20000000;0;0;Mecklenburg-Vorpommern;Offer
GZ2657;Kieler Stra·e 263, 22525 Hamburg;22525;Kieler Stra·e;263;Hamburg;9,93396;53,581736;core;APPARTMENTBUILDING;21600000;2468;0;Hamburg;Offer
BJ3683;Hohenzollernstra·e 12, 14109 Berlin;14109;Hohenzollernstra·e;12;Berlin;13,15348;52,41298;core;APPARTMENTBUILDING;5250000;7581;0;Berlin;Offer
FB3286;Pappelallee 1, 14476 Potsdam;14476;Pappelallee;1;Potsdam;13,00245;52,45838;opportunity;WAREHOUSE;1050000;0;84000;Brandenburg;Offer
CT0725;Wernigerîder Stra·e 1, 38855 Wernigerode;38855;Wernigerîder Stra·e;1;Wernigerode;10,86472;51,83396;notassigned;BUILDINGPLOT;400000;50000;0;Sachsen-Anhalt;Offer
NI8205;Friedberger Stra·e 173, 61118 Bad Vilbel;61118;Friedberger Stra·e;173;Bad Vilbel;8,74387;50,20356;core;OFFICEBUILDING;20900000;11400;0;Hessen;Offer
MG9937;John-Brinckman-Stra·e 4, 19399 Goldberg;19399;John-Brinckman-Stra·e;4;Goldberg;12,09127147;53,59715893;core;CONSUMERMARKET;1200000;9615;123294,72;Mecklenburg-Vorpommern;Offer
XW1336;Galileo-Galilei-Stra·e 1, 19063 Schwerin;19063;Galileo-Galilei-Stra·e;1;Schwerin;11,46719;53,58872;notassigned;BUILDINGPLOT;5500000;9212;0;Mecklenburg-Vorpommern;Offer
OM3311;SÅdportal 2, 22848 Norderstedt;22848;SÅdportal;2;Norderstedt;9,98373;53,65374;valueadded;HOTEL;50000000;0;0;Schleswig-Holstein;QuickCheck
NP3529;Speditionstra·e 11, 40221 DÅsseldorf, Deutschland;40221;Speditionstra·e;11;DÅsseldorf;6,7506995;51,2152249;core;HOTEL;100000000;0;5000000;Nordrhein-Westfalen;Offer
EY2989;Landsberger Allee 341, 13055 Berlin;13055;Landsberger Allee;341;Berlin;13,51227;52,53552;development;RESIDENTIALANDCOMMERCIAL;261200000;40000;0;Berlin;QuickCheck
BF1196;Staudenring 1, 65451 Kelsterbach;65451;Staudenring;1;Kelsterbach;8,520869263;50,05322599;development;HOTEL;10000000;10000;0;Hessen;Offer
XI6396;Heinrich-Budde-Stra·e 44, 04157 Leipzig;04157;Heinrich-Budde-Stra·e;44;Leipzig;12,37326;51,37059;notassigned;BUILDINGPLOT;768000;330;0;Sachsen;Offer
XZ2893;LÅckstra·e 47, 10317 Berlin;10317;LÅckstra·e;47;Berlin;13,4936;52,50094;core;RESIDENTIALANDCOMMERCIAL;2750;1117;0;Berlin;Offer
TA0246;Eilenburger Stra·e 39, 04317 Leipzig;04317;Eilenburger Stra·e;39;Leipzig;12,40891;51,33213;core;RESIDENTIALANDCOMMERCIAL;4640000;0;0;Sachsen;Offer
QV1852;Heilbronner Stra·e 1, 15230 Frankfurt (Oder);15230;Heilbronner Stra·e;1;Frankfurt (Oder);14,54334;52,3419;notassigned;BUILDINGPLOT;0;5897;0;Brandenburg;Offer
YO6071;UnnÅtzstra·e 33, 81825 MÅnchen;81825;UnnÅtzstra·e;33;MÅnchen;11,6536;48,11628;development;APPARTMENTBUILDING;5028000;626;0;Bayern;Offer
UY2227;Sedanstra·e 1, 91052 Erlangen;91052;Sedanstra·e;1;Erlangen;11,00535;49,59094;development;OFFICEANDCOMMERCIAL;61252500;0;0;Bayern;Offer
